典拠	東島通商語	日本語直訳	和訳	英訳		
我々の遊戯	- liju leti cetkaik    4		- 教育机戦    4			
我々の遊戯	- ail panit leti cetkaik    7		- 標準机戦    7			
我々の遊戯	- jo polto o nole leti etleti julo    8		- 地域や時代による差    8			
我々の遊戯	- penulleti cetkaik    ?		- 古机戦    10			
我々の遊戯	nincetkaik leti belpic    ?2		紙机戦のゲーム    12			
我々の遊戯	- nincetkaik leti lukup    ?2		- 紙机戦の用語集    12			
我々の遊戯	- 行戦 mokaik    ?3		- 行戦（モㇰカイㇰ）    13			
我々の遊戯	- 終季 taxot    ?4		- 終季（タショッ）    14			
我々の遊戯	- 値戦 makaik    ?5		- 値戦（マㇰカイㇰ）    15			
我々の遊戯	- 連友 neki    ?6		- 連友（ニェㇰヒー）    16			
我々の遊戯	- 値木 makup    ?6		- 値木（マㇰホㇷ゚）    16			
我々の遊戯	- 開樽 nanto    ?7		- 開樽（ナㇺトウ）    17			
我々の遊戯	- 小猫 nine    ?7		- 小猫（ニーネー）    17			
我々の遊戯	xelit kileleti cul leti belpic    ?8		到達を目指すゲーム    18			
我々の遊戯	- 行山 mokzo    ?8		- 行山（モㇰツォ）    18			
我々の遊戯	- 六裁 netxiju    ?9		- 六裁（ネッシュ）    19			
我々の遊戯	- 連船之遊 tude-pijume    ?9		- 連船之遊（ネカナモカヌツ）    19			
我々の遊戯	xiju leti belpic		投げ棒のゲーム			
我々の遊戯	jo kaleti belpic mi cet lucit xiju. 		このゲームにおいては投げ棒＝【裁】（裁：シュー）を使う。			
我々の遊戯	xiju e cutewen exut leti xedixel pi doktit ka pi iceit panxenco.		投げ棒とは、裏表が分かるように作られた平らな竹の棒であり、これを５本同時に投げてランダムな数を得る。			
我々の遊戯	lucit ka leti cubelpic e kanicitileti cubelpic jo auc.		これを使った賭博²はもっともよく知られた賭博である。			
我々の遊戯	- 獣裁 mugaxiju		- 獣裁（【獣裁】：ザウㇷ゚シュー/ムガシユ）			
我々の遊戯	kaleti belpic leti kantel e mowileti xiju pi ka e pupcukleti pi e juleleti julo jo aucleti xiju leti cubelpic.		「愚かな投げ棒」という意味のこのゲームは、投げ棒を使った賭博のうち、最も単純で基本的なものである。			
我々の遊戯	1. jo belpic leti polto aucleti lata amolit late.		1. 参加者全員が場に賭け金を出す。			
我々の遊戯	2. aucleti lata doktit xiju jo panleti nole. pi kanteit tude xileja leti kin.		2. 参加者全員が投げ棒を１回投げ、表の数を記録する。			
我々の遊戯	3. jo auc xep kin e kile pi kaleti lata iceit aucleti late. (2leti o xep kaleti lata mol pi cileti lata cet lap amolit late pi mak-mak doktit xiju.)		3. 最も大きい数を出したプレーヤーが賭け金を全て取る。（そのようなプレーヤーが２人以上いる場合、そのプレーヤーたちだけが新たに賭け金を出し、再び投げ棒を投げる。）			
我々の遊戯	- 連撃獣裁 mak-mak xiju		- 連撃獣裁 （【連撃獣裁】：ニェックッザウㇷ゚シュー）			
我々の遊戯	jo ka lapekante leti mugaciju leti cul leti makleti e waxec. ka e launzakante.		上記「獣裁」の手順2. を以下のように変えたものである。			
我々の遊戯	1. lata doktit xiju pi kanteit tude cileti kin.		1. 投げ棒を投げ、出た数を記録する。			
我々の遊戯	2. lata mak doktit xiju (tumok) o tectelit kin (xonmak).		2. プレーヤーはもう一度投げる（【再行】 再行：トュモーㇰ）か、数を確定させるか（【積値】 積値：ショーンマーㇰ）を選ぶ。			
我々の遊戯	jo co mak doktit xiju leti nole		もう一度投げる場合：			
我々の遊戯	co mak doktit xiju pi atakecit cileti kin. (pi jo xon nole, jo kaleti nole xiju leti kin e 0leti o 1leti pi tek e nip.)		もう一度投げ棒を投げ、その数を合計する。（ただし、このとき０か１が出た場合、それまでの合計は失われる）			
我々の遊戯	jo co tectelit kin leti nole		数を確定させる場合：			
我々の遊戯	co iceit aucleti tek.		その数の合計を獲得する。			
我々の遊戯	3. mak-mak it 2leti pi jo it tek e nip leti o tectelit tek leti nole lucucit.		3. 合計が失われるか確定するまで2. を繰り返す。			
我々の遊戯	ka e doktit xiju leti cul pi kaleti alailen e 連撃術 (mak-mak-doktit).		これは「【連撃術】（連撃術：ニェッククッズィーッ）」と呼ばれる投げ棒の投げ方である。			
我々の遊戯	- 新遊 lutu		- 新遊（新遊：ルートゥー）			
我々の遊戯	jo kaleti belpic kanteit tude 0-1-2-3-4-5 leti kin jo tidip pi lucit ka.		このゲームでは、以下のように０～５までの数が書かれた紙を使う。			
我々の遊戯	0    1    2    3    4    5		【0】0    【1】1    【2】2    【3】3    【4】4    【5】5			
我々の遊戯	1. tectelit panleti xeplata pi etleti lata e nuxeplata.		1.１人の親を決め、その他のプレーヤーは子になる。			
我々の遊戯	2. aucleti nuxeplata amolit late jo 0-1-2-3-4-5 leti pan.		2.子全員が０～５のどれかに賭け金を置く。			
我々の遊戯	3. xeplata doktit xiju.		3.親が投げ棒を投げる。			
我々の遊戯	4. nuxeplata leti amolit late leti kinlujot e panleti jo xiju leti kin pi ci letit cekel. kaleti cekel e jo launza leti cukulal.		4.賭けていた数字と一致している子がいれば、以下の配当を受け取る。			
我々の遊戯	nuxeplata leti amolit late leti kinlujot e waxec jo xiju leti kin pi xeplata letit cileti late.		外れた子の賭け金は親が受け取る。			
我々の遊戯	8lt late 0    4lt late 1    2lt late 2    2lt late 3    4lt late 4    8lt late 5		x8 0    x4 1    x2 2    x2 3    x4 4    x8 5			
我々の遊戯	cetkaik		机戦			
我々の遊戯	jo kaleti belpic, lata lucit "zo" at "bepale" at "xiju" at "kin leti bepale". launza leti nocti mol.		このゲームでは駒とボード、投げ棒、得点盤を使用する。以下の特徴がある。			
我々の遊戯	- jo nip xon nole makleti lata it ka pi makleti lata mak-mak tudeit cileti zo.		- 多くは２人で行い、各プレーヤーが交互に各陣営の駒を動かす。			
我々の遊戯	- jo zo enja mol pi etleti enja pulonit etleti tudeleti.		- 駒に役職があり、その役職に応じて異なる動きをする。			
我々の遊戯	- xon nutok mol pi xon anpe mol.		- 特殊な効果をもたらすマスが存在する。			
我々の遊戯	- cijujuctelit zo pi molkait.		- 特定の駒を集めると勝利する。			
我々の遊戯	kaleti nole leti cetkaik leti xep nocti e lucit dat pi kinpit kin leti cul.		現代机戦の大きな特徴として、役に基づく得点システムがある。			
我々の遊戯	jo penulleti nole molkaleti o molipkaleti e letit tude cu leti paujun. pi lucit dat leti cul mol pi "jo molipkait leti nole, molipkaleti delu e nuxep." leti cul e kile. pi kaleti belpic e kile jo xaneleti.		かつては勝敗に基づいて賭け金をやり取りしていたが、このシステムの導入により、「よりよく負ける」という戦術が生まれ、ゲームに深みが増した。			
我々の遊戯	jo kaleti nole leti cetkaik xep kin leti neclanac mol pi jo paclukup xelit lata leti liju kije (jo jecnup leti mo leti inixale) leti "liju leti cetkaik" pi xelit juleleti cela.		現代机戦にはさまざまなバリエーションが存在するが、基本的なシステムの紹介のために、まずは学校の「文化」の授業で学ぶ「教育机戦」について解説する。			
我々の遊戯	与学机戦 liju leti cetkaik		- 教育机戦（【与学机戦】：トゥイヌイセッカイㇰ）			
我々の遊戯	pac it leti nole		初期配置			
我々の遊戯	jo pac it belpic leti nole, jo bepale auc leti zo mol pi zo mol polto e panleti jo launza. 		ゲーム開始時、全ての駒は盤上にある。			
我々の遊戯	panleti lata pupcuk kanteit kije zo leti lujot pi kaleti zo e kaleti lata leti.		各駒は以下のように配置される。あるプレーヤーにとって読みやすい方向の駒がそのプレーヤーの駒である。			
我々の遊戯	mak pi jo auc leti lata "kopzo" mol pi ka e lata leti letit kije leti zo leti delu mol polto.		また各プレーヤーにはそれぞれ手駒と呼ばれる獲得した駒が存在すべきスペースがある。			
我々の遊戯	🖼️		🖼️			
我々の遊戯	belpic leti cela		ゲームの構造			
我々の遊戯	jo kaleti belpic nupanleti xot mol pi jo panleti xot nupanleti dije mol. jo papelleti nole kaleti xot e je-xo-kat-jat pi e jupleti.		このゲームは複数の季節（通常、春夏秋冬の４季）によって成り立っており、1つの季節は複数の手番によって成り立っている。			
我々の遊戯	jo dije lata tectelit panleti zo pi tudeit cileti zo pi celene letit etleti zo.		手番において、プレーヤーは１つの駒を選び、その駒を動かし、他の駒の獲得を目指す。			
我々の遊戯	mak-mak dije e tude pi jo cileti nole panleti lata lauzait dat pi lukupit letit cileti kin leti julo pi kaleti xot e lucuc pi launza leti xot delu e kile.		手番を繰り返し、プレーヤーが役を完成させ、その点数を獲得する宣言をするとその季節が終了し、次の季節に移る。			
我々の遊戯	jo auc leti xot e lucuc leti nole o jo panleti lata leti kin kile jo 2?leti o xep kin leti nole, kaleti belpic delu e lucuc.		季節が全て終わるか、一方のプレーヤーの持ち点が20点以上に到達した際、ゲームは終了する。			
我々の遊戯	dijeleti xep pulac		手番の概要			
我々の遊戯	- 1. tudeleti awi (delu it ka)		- 1. 移動フェーズ（必ず行う）			
我々の遊戯	tudeit zo.		駒を移動する。			
我々の遊戯	- tudeit leti zo e panleti.		- 動かす駒は一つ。			
我々の遊戯	- lap tudeit untik leti zo o tan.		- ⾃分の駒または【皇】しか動かせない。			
我々の遊戯	- lucit zo untik leti tudeleti cul. kaleti cul e panleti jo launza.		- 駒固有の動き（後述）に従う。			
我々の遊戯	- 2. letit kije leti awi (etleti lata leti zo mol jo zo leti tudeleti polto pi delu it ka)		- 2. 獲得フェーズ（移動先に相手の駒があれば）			
我々の遊戯	jo bepale nipit zo pi kaleti zo e tude jo untik leti kopzo.		駒を盤上から除き自分の手駒に加える。			
我々の遊戯	- tan e tude pi etleti zo nip e kile.		- 【皇】で他の駒は獲得できない。			
我々の遊戯	- lata nip cene letit tan.		- 【皇】を獲得することはできない。			
我々の遊戯	- 3. lukupit leti awi (jo kopzo dat mol pi delu it ka)		- 3. 宣言フェーズ（⼿駒に役が成⽴していれば）			
我々の遊戯	lukupit launza leti panleti.		以下のいずれかの宣⾔を⾏う。			
我々の遊戯	再行 tumok		【再行】（再⾏)：トュモーㇰ			
我々の遊戯	kin leti paujun delu e tude jo makleti ka pi xot e tude. kin leti paujun e kin leti tudeleti at kileleti leti paujun pi jo kaleti launza leti nole ka leti paujun e tude jo 4leti pi mak it pi 8leti.		点数レートを倍にして季を続⾏。                                点数レートは点数の受取と⽀払に影響し、その後４倍、８倍……となる。			
我々の遊戯	終季 taxot		【終季】（終季)：タショㇳ			
我々の遊戯	lucucit xot pi lukupit ka leti lata kinpit jo kaleti nole mol kin. jo lukupit taxot leti launza paujun delu e tude jo panleti.		季節を終了し、宣言者がその時点で完成させている役の点数を獲得する。                                終季宣⾔の後、レートをリセットする。			
我々の遊戯	tudeleti awi		移動フェーズ			
我々の遊戯	- zo leti tudeleti		- 駒の動き			
我々の遊戯	jo panleti dije lata tectelit zo pi tudeit. jo kaleti nole lata delu tudeit untik leti zo o tan. jo zo e tude leti nole lucit zo untik leti tudeleti cul.		各手番に、プレーヤーは駒を一つ選び移動する。この際、プレーヤーは⾃分の駒もしくは皇を動かすことになる。駒の移動は駒固有の動きに従う。			
我々の遊戯	〇 e tude jo kaleti nutok. nip cene xenkanit cecijo leti zo.		〇 そのマスに移動。間の駒を⾶び越えられない。			
我々の遊戯	◌ e tude jo kaleti nutok. cene xenkanit cecijo leti zo.		◌ そのマスに移動。間の駒を⾶び越えて良い。			
我々の遊戯	― e tude jo kaleti lal. nip cene xenkanit cecijo leti zo.		― その⽅向に何マスか移動。間の駒を⾶び越えられない。			
我々の遊戯	┄ e tude jo kaleti lal. cene xenkanit cecijo leti zo.		┄ その⽅向に何マスか移動。間の駒を⾶び越えて良い。			
我々の遊戯	papelleti    tanke		通常    皇処			
我々の遊戯	船                                pijume                                mu-ak                                nu-ak    🖼️    🖼️		【船】                                船                                ムアーㇰ                                ヌアーㇰ    🖼️    🖼️			
我々の遊戯	兵                                elme                                kauk    🖼️    🖼️		【兵】                                兵                                カーウㇰ    🖼️    🖼️			
我々の遊戯	弓                                kuctu                                gu-a    🖼️    🖼️		【弓】                                弓                                グヮー    🖼️    🖼️			
我々の遊戯	車                                xije                                kaun    🖼️    🖼️		【車】                                車                                カーゥン    🖼️    🖼️			
我々の遊戯	巫                                tancuk                                tuk    🖼️    🖼️		【巫】                                巫                                トゥーㇰ    🖼️    🖼️			
我々の遊戯	tanke leti 巫 lap xenkanit jo cucpezen mol zo leti panleti.		皇処の【巫】は直線上にある駒のうち1つしか飛び越えられない。			
我々の遊戯	将                                xan                                wai    🖼️    🖼️		【将】                                将                                ワーイ    🖼️    🖼️			
我々の遊戯	tanke leti 将 cecnutit nectunleti 8leti nutok. etleti lata nip cene letit jo kaleti 8leti nutok mol untik leti zo.		相手は、皇処の【将】が触れる周囲8マスにある味方の駒を取ることができない。			
我々の遊戯	王                                caupla                                jo-u    🖼️    panleti jo papelleti nole		【王】                                王                                ヨウ    🖼️    通常と同じ			
我々の遊戯	皇                                tan                                tam    🖼️    panleti jo papelleti nole		【皇】                                皇                                タㇺ    🖼️    通常と同じ			
我々の遊戯	lucit 王 leti tudeleti mak e tude. aucleti lata cene tudeit ka. 皇 leti nectunleti lekkaleti nutok e tanke.		【王】の動きを２回する。お互いのプレーヤーが移動可能である。周囲８マスを皇処にする。			
我々の遊戯	- 皇処 tanke		- 皇処（タㇺホェ）			
我々の遊戯	zo pac e tude jo tanke pi zo delu e tude jo kaleti cukulal leti tecnok leti cul. tanke e cucital leti tandec leti nutok at tan leti mele leti lekkaleti leti alailen. zo e cemoko (kante tude jo launza) pi ci cemokoit leti zo e tude jo panleti cul.		駒の移動元が皇処の場合、上図右の動きに従わなければならない。皇処とは、中央の緑マスと皇の周囲８マスをまとめた呼び方である。また、踏越え（後述）を行った場合は踏み台にした駒のいるマスも影響する。			
我々の遊戯	- pac e tude jo kopzo leti nole		- 手駒からの移動			
我々の遊戯	jo coleti kopzo mol zo cene e tude jo zo molipleti aucleti nutok jo coleti dije. jo kaleti nole nip deliju it jo launza kante tude leti "tanna leti xiju".		自分の手駒にある駒は、自分の移動フェーズ中に駒のないどんなマスにも移動させることができる。この時には、後述する「入水判定」は必要ない。			
我々の遊戯	- 皇水 tanna		- 皇水（タㇺヌア）			
我々の遊戯	coxetleti nutok mol jo bepale leti cucital pi ka e tanna. co celene e zo e tude jo tanna pi co doktit xiju pi deliju letit 3leti o xep. kaleti alailen e "tanna leti xiju". jo atakecit leti, tandec leti nutok e tanna. jo zo nip cene e tude jo tanna leti nole lata deliju tudeit kije zo jo pac tudeit leti polto.		盤の中央にある青いマスは、皇水と呼ばれる場所で、ここに入る際は投げ棒を投げて３以上の数を出す必要がある。（入水判定）また中央の緑マスも皇水として扱う。入ることができなかった場合は動く前の位置に駒を戻す。			
我々の遊戯	- cemokoleti		- 踏越え			
我々の遊戯	🖼️		🖼️			
我々の遊戯	jo zo e tude pi mol leti polto (coleti o etleti lata leti) etleti zo mol pi cene cemokoit ci pi mak-mak cene e tude. 		移動先に他の駒(自身の駒でも相手の駒でも)がある場合、それを踏み台(経由点)としてさらに移動できる。			
我々の遊戯	jo panleti dije lata cene lap cemokoit 0leti o 1leti zo (kaleti cepkulante e pectel jo tan).		踏越えできる駒は1手番につき1つまでである(皇が移動する場合であっても)。			
我々の遊戯	jo atakecit leti, cemokoit leti zo cene e tude jo xep kin leti nutok pi lata delu doktit xiju. xiju leti kin o nuxep e lata leti cene cemokoit pi e tude leti kin.		また、駒が経由点から何マスも移動できるような動きをする場合、投げ棒を投げる。その数が移動数の上限を示す³。			
我々の遊戯	jo zo pac e tude leti polto e tanke leti nole, zo lucit tanke leti tudeleti pi tude jo zo cemokoit leti polto. 		移動開始地点が皇処の場合は、踏み台のある地点までが皇処の動きになる。			
我々の遊戯	zo cemokoit leti polto e tanke pi tanke leti tudeleti cul e pac jo cileti polto.		また、踏み台のある地点が皇処の場合は、踏み台のある地点から移動終了地点までが皇処の動きになる。			
我々の遊戯	letit leti awi		獲得フェーズ			
我々の遊戯	tudeit leti awi e lucuc pi jo zo e tude leti poto etleti lata leti zo mol pi co deliju letit ka pi deliju tudeit ka jo kopzo.		移動フェーズ終了後、駒の移動終了地点に相手の駒があれば、その駒を獲得し、自身の手駒に加えなければならない。			
我々の遊戯	lukupit leti awi		宣言フェーズ			
我々の遊戯	jo dije e lucuc leti nole dat mol pi co delu tectelit tumok o taxot. dat e jo kopzo mol pankaleti bilateleti o xon nole. lata xelit dat jo paujun pi tudeit kin o kileit kin.		手番終了時、役があるのならば、以下の２種の宣言のうち一つを選び、宣言しなくてはならない。役とは手駒の中に存在する特定の組合せないしは特定の状況である。プレーヤーはこれを基準として点数をやり取りする。			
我々の遊戯	- 再行 tumok		【再行】（再⾏)：トュモーㇰ			
我々の遊戯	jo lukupit ka leti nole kin leti paujun deliju nip-nole e tude jo makleti pi zelit xot.		この宣言が行われた際、即座に点数レートを倍にして季節を続⾏する。			
我々の遊戯	- 終季 taxot		【終季】（終季)：タショㇳ			
我々の遊戯	jo lukupit ka leti nole deliju nip-nole lucucit xot pi lukupit leti lata iceit cileti lauzait jo kaleti nole leti dat leti kin. lukupit taxot pi paujun e tude jo 1leti.		この宣言が行われた際、即座に季節を終了し、宣言者がその時点で完成させている役の点数を獲得する。終季宣⾔の後、レートをリセットする。			
我々の遊戯	kin leti paujun tectelit letit kije o tude leti kin pi e tude jo 2-4-8leti o xep. jo etleti lukupit leti, panleti tumok it 5leti kin leti dat e ?leti kin. jo kaleti nole xenkanit kame it tumok leti julo.		点数レートは点数の受取と⽀払を決定し、２倍、４倍、８倍……と増加していく。すなわち、１回の再⾏は、その後に完成した5点の役を10点にする。どちらのプレーヤーが行ったかは問わない。			
我々の遊戯	- dat at cileti kin		- 役と点数			
我々の遊戯	- papelleti dat		- 通常役			
我々の遊戯	将巫兵 5		将巫兵 ワーイトㇰカウㇰ5			
我々の遊戯	車弓兵 5		車弓兵 カウングヮカウㇰ5			
我々の遊戯	王 3		王 ヨウ 3			
我々の遊戯	船兵兵 3		船兵兵 ムアーㇰ(ヌアーㇰ)カウㇰカウㇰ3			
我々の遊戯	- atakecleti dat		- 加点役			
我々の遊戯	同色 panleti dec/bepok 上2		同色　【同色】：バッポㇰ +2			
我々の遊戯	panleti dat e panleti dec leti zo cet.		１つの役が１色だけで構成			
我々の遊戯	- noleleti dat		- 状況役			
我々の遊戯	皇再来 mak-kile tantumok 下3		皇再来　【皇再来】：タㇺトュザㇰ -3			
我々の遊戯	jo etleti lata tudeit tan leti launza leti lata e tan tude. lucit tan pi nip e tude.		相手が皇を移動した後に皇を移動する、皇を利用したパス			
我々の遊戯	撃皇 cemokoit-tan/kutan下5		撃皇 【撃皇】：クッタㇺ -5			
我々の遊戯	cemokoit tan.		皇を踏越えする			
我々の遊戯	caupla pulonit zo		王のワイルドカード（歪術）			
我々の遊戯	panleti caupla mol pi ka e dukaleti kin leti dat. jo auc leti nole ka letit bepok pi caupla e nokaleti kin. co cene lucit caupla pi lauzait dat. pi, caupla nip cene pulonit etleti dec leti zo.		【王】はそれ⼀枚で３点役 【王】を構成し、常に同⾊が加わるので実質５点になる。 さらに王は他の駒の一つの代わりに用いて、役を構成することができる。ただし、他の色の駒の代わりにはなれない。			
我々の遊戯	lauzait cetleti dat jo panleti nole		役の同時成立			
我々の遊戯	co cene lucit panleti zo jo cetleti dat. keco, jo kopzo co letit 王車兵船 pi co cene lauzait 王 at 車弓兵 at 船兵兵.		一つの駒は複数の役を構成するのに用いることができる。例えば手駒に【王車兵船】があれば、【王】、【車弓兵】、【船兵兵】が成立する。			
我々の遊戯	nip mak-mak kinpit panleti dat		同一役非重複			
我々の遊戯	co nip cene mak-mak kinpit panleti dat jo panleti nole. keco, co letit 2leti 船 at 4leti 兵 pi co nip letit 2leti 船兵兵.		同⼀役は重複しない。例えば、【船】を２枚、【兵】を4枚持っていたとしても、【船兵兵】が２つあるとはみなさない。			
我々の遊戯	delu lap kinpit bepok		同⾊優越			
我々の遊戯	makleti nuwaxecleti dat e lauza pi panleti e bepok pi etleti nip e bepok. jo kaleti nole co deliju lap kinpit bepok leti dat. keco, jo kopzo co letit delneleti 車 at ludecleti 車 at delneleti 弓 at delneleti 兵 pi co lap letit bepok leti 車弓兵 leti kin.		同⼀役であり、同⾊のものと同⾊でないものが同時に成⽴した場合は同⾊である役のみを数える。例えば黒の【車】と赤の【車】、黒の【弓】、黒の【兵】が⼿駒にある場合は同⾊【車弓兵】のみの点数を得る。			
我々の遊戯	官定机戦 ail panit leti cetkaik		標準机戦（【官定机戦】：ユーホヮーㇷ゚セッカイㇰ）			
我々の遊戯	ail panit leti cetkaik e ail mo leti cep leti "ail panit leti cetkaik leti kulante" panit leti cepkulante. ka e mi cet nip cene cikinait leti julo jo lukupit xep kin leti cepkulante leti nole. jo xep julo ka e panleti jo liju leti cetkaik pi nip kanteit tude cileti julo pi lap kanteit tude waxecleti julo.		標準机戦はアイル共和国文化省『アイル統一机戦書』において統一されたルールであり、さまざまなルールを語る上で避けて通れないものである。多くの部分において教育机戦と共通点があるため、そのような箇所を省略して、差異だけ記す。			
我々の遊戯	pac it leti poto		初期配置			
我々の遊戯	🖼️		🖼️			
我々の遊戯	belpic leti cela at dije leti xep pulac		ゲームの構造・手番の概要			
我々の遊戯	molkaleti nip e 2?leti kin pi e 4?leti kin.		勝利条件は20点ではなく40点である。			
我々の遊戯	zo leti tudeleti		駒の動き			
我々の遊戯	atakecit launza leti zo jo liju leti cetkaik		教育机戦の駒に加えて以下の駒を追加する。			
我々の遊戯	papelleti    tanke		通常    皇処			
我々の遊戯	虎                                cucit                                dau    🖼️    🖼️		【虎】                                虎                                ダーウ    🖼️    🖼️			
我々の遊戯	馬                                dodo                                maun    🖼️    🖼️		【馬】                                馬                                マーゥン    🖼️    🖼️			
我々の遊戯	tanke leti 馬 lap xenkanit jo nectunleti zo leti panleti.		皇処の【馬】は周囲にある駒のうち１つしか飛び越えられない。			
我々の遊戯	筆                                kuwa                                ku-a    🖼️    🖼️		【筆】                                筆                                クヮー    🖼️    🖼️			
我々の遊戯	jo atakecit leti, ludecleti nutok e tanke. tandec leti nutok e tanke o tanna.		また、赤色⁴のマスも皇処として扱う。緑色のマスは皇処かつ皇水である。			
我々の遊戯	dat at kin		役・点数			
我々の遊戯	atakecit launza leti papelleti dat. jo ail panit leti cetkaik aucleti dat letit cileti alailen.		通常役を以下に変更する。標準机戦では各役に特有の名前がついている。加点役と状況役に変更はない。			
我々の遊戯	無抗行処 auc/mun-mak-mok-hu-e auc leti cepat leti zo pi tan molip 5?		無抗行処 【無抗行処】 ムンマーㇰモークホエ 皇以外全種類 50			
我々の遊戯	筆兵無傾 kua at elme/ku-a-kauk-mun-aum 兵弓将筆巫 ?		筆兵無傾 【筆兵無傾】 クヮカゥㇰムーンアウム 兵弓将筆巫 10			
我々の遊戯	地心 mo/hu-ep hi-a 筆巫将 7		地心 【地心】 ホェㇷ゚ヒャー　 筆巫将 7			
我々の遊戯	馬弓兵 bepice elme/maun-gu-a-kauk 兵弓馬 7		馬弓兵 【馬弓兵】 マゥングヮカゥㇰ 兵弓馬 7			
我々の遊戯	行々 tude-tude/mo-uk-mo-uk 船車馬 5		行行 【行々】 モゥㇰモゥㇰ 船車馬 5			
我々の遊戯	王 caupla/jo-u 王 3		王 【王】 ヨウ 王 3			
我々の遊戯	獣 cucit dodo/saup 虎馬 3		獣 【獣】 ザゥㇷ゚ 虎馬 3			
我々の遊戯	戦集 elme cet/kaik-dat 将兵兵 3		戦集 【戦集】 カイㇰダッ 将兵兵 3			
我々の遊戯	助友 mena/waip-hi 車兵兵 3		助友 【助友】 ワイㇷ゚ヒー 車兵兵 3			
我々の遊戯	闇戦之集 kapa-nip-mol/kait-kaik-a-dat 兵兵兵兵兵 3		闇戦之集 【闇戦之集】 ホエッカイㇰアダッ 兵兵兵兵兵 3			
我々の遊戯	jo poto o nole leti wacpalbit		地域や時代による差			
我々の遊戯	jo ail panit leti cetkaik leti et xon cepkulante mol jo poto o nole. jo ka bijotit ci cet.		標準机戦のほか、地域や時代によって特有な規則が行われていた。ここではそれらについて紹介する。			
我々の遊戯	lucit mak-mak-doktit		連撃術の採用			
我々の遊戯	jo nole, lucit mak-mak-doktit jo cemokoit pi doktit xiju leti nole.		踏越えで投げ棒を投げる際、連撃術を使う場合もある。			
我々の遊戯	kinpit kin leti penulleti cul		古計算法			
我々の遊戯	jo kaleti nole leti cetkaik lata xelit dat pi lap it pupcukleti atakecit kin leti. pi, jo penulleti nole aucleti zo letit jo launza leti kin. atakecit zo leti kin pi jo aucleti dat atakecit lauzait dat leti zo leti 2leti kin (jo elme mol o makleti zo mol) o 4leti kin (jo etleti dat).		現代机戦では、役に応じて単に足し算をするだけであるが、かつてはそれぞれの駒に以下のような点数があった。この合計を求め、さらにそれぞれの役に対して構成駒の 2 倍(兵の絡む役や 2 つの駒から構成される役)または 4 倍(その他の役)を加点していた。			
我々の遊戯	船 ?片		船 0.1			
我々の遊戯	兵 2?片		兵 0.2			
我々の遊戯	筆 3?片		筆 0.3			
我々の遊戯	弓 4?片		弓 0.4			
我々の遊戯	馬 4?片		馬 0.4			
我々の遊戯	車 5?片		車 0.5			
我々の遊戯	巫 5?片		巫 0.5			
我々の遊戯	虎 6?片		虎 0.6			
我々の遊戯	将 6?片		将 0.6			
我々の遊戯	王 1		王 1.0			
我々の遊戯	jo poto lata lucit panleti cepkulante. ka e "elme mol dat o makleti zo leti dat cucnit 3leti. pi etleti dat cucnit 5leti". jo nole lata lucit etleti cepkulante. ka e "dat e dat leti 3leti o 5leti pi lap atakecit dat molip zo leti kin". jo kaleti nole xelit panleti lawa o kileleti polto leti lata pi it kaleti cul.		地方によっては、「兵の絡む役や 2 つの駒から構成される役は 3 倍、その他の役を 5 倍」というルールを用いることもあった。また、「役に対しては 3 倍や 5 倍、役に関与してない駒だけを追加で足す」というルールを用いることもあった。現代でも世代や出身によってはこういった方法を用いている。			
我々の遊戯	cetleti tudeleti cul		さまざまな移動法			
我々の遊戯	jo tudeleti cul etleti julo mol jo polto. launza leti ka e 硬皇力 pi e kaniciti jo etleti julo pi letit panleti nocti. ka e jo tanke leti zo tude jo cunetleti jo aucleti nole.		動き方についても地域による差異があった。以下はその中でも比較的有名な【硬皇力】(硬皇力:ペㇰタンピュ)と呼ばれるもので、 皇処で常に駒が強くなるという特徴がある。			
我々の遊戯	papelleti    tanke		通常    皇処			
我々の遊戯	弓                                kuctu                                gu-a    🖼️    🖼️		【弓】                                弓                                グヮー    🖼️    🖼️			
我々の遊戯	車                                xije                                kaun    🖼️    🖼️		【車】                                車                                カーゥン    🖼️    🖼️			
我々の遊戯	馬                                dodo                                maun    🖼️    🖼️		【馬】                                馬                                マーゥン    🖼️    🖼️			
我々の遊戯	巫                                tancuk                                tuk    🖼️    🖼️		【巫】                                巫                                トゥーㇰ    🖼️    🖼️			
我々の遊戯	jo 硬皇力 leti et, jo poto o nole, 船 jo tanke at 弓 leti tudeleti e panleti leti wacpalbit at 虎 at 馬 leti tudeleti e panleti leti poto at 弓 at 車 leti tudeleti e panleti leti poto mol. jo atakecit leti, jo poto zo xon e tude jo tanna.		硬皇力以外にも、その他、地域や時代によっては皇処の【船】が【弓】と同じ動きをする規則や、虎と馬が同じ動きをする地域、【弓】と【車】が同じ動きをする地域などが存在する。また、地域によっては皇水で異なる動きをする駒が存在する場合もある。			
我々の遊戯	cetleti neclanac leti dat		さまざまな役			
我々の遊戯	- laiju-pice-laiju leti pecela		- 連獣連体系			
